Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,0.482985258102417,0.4865842792139513,0.4753073845341436,0.482985258102417,113680000,0.0,0.0
2015-01-05 00:00:00-05:00,0.4829852312599073,0.484424839624513,0.47266811425289534,0.47482749819755554,197952000,0.0,0.0
2015-01-06 00:00:00-05:00,0.47554731995069827,0.4760271798892142,0.45995168603430814,0.4604315459728241,197764000,0.0,0.0
2015-01-07 00:00:00-05:00,0.46379062571938356,0.46786950698008156,0.4577923045739469,0.4592319130897522,321808000,0.0,0.0
2015-01-08 00:00:00-05:00,0.4645103674009633,0.4793862247194523,0.46427042314656924,0.4765070080757141,283780000,0.0,0.0
2015-01-09 00:00:00-05:00,0.4781866599587349,0.4820255972128002,0.47170844976721804,0.47842657566070557,209540000,0.0,0.0
2015-01-12 00:00:00-05:00,0.47962627851407885,0.4798662228375819,0.46810949442879196,0.4724282920360565,190732000,0.0,0.0
2015-01-13 00:00:00-05:00,0.4760272138984762,0.48562452776346315,0.46834936852693687,0.47170841693878174,236720000,0.0,0.0
2015-01-14 00:00:00-05:00,0.46666997132130794,0.47506762323852164,0.465470306761706,0.4736280143260956,155260000,0.0,0.0
2015-01-15 00:00:00-05:00,0.47698694087800614,0.4798661291868613,0.4700288714791686,0.4702688157558441,188932000,0.0,0.0
2015-01-16 00:00:00-05:00,0.46954902483175576,0.47938628281816653,0.4681094163354148,0.47890642285346985,181512000,0.0,0.0
2015-01-20 00:00:00-05:00,0.48226549378738115,0.4849047380179028,0.4743477038913116,0.48034605383872986,140308000,0.0,0.0
2015-01-21 00:00:00-05:00,0.4777066661391836,0.4882637263295333,0.4743475898322447,0.48706403374671936,144780000,0.0,0.0
2015-01-22 00:00:00-05:00,0.48802383380699593,0.4969014002082734,0.4829852614207306,0.4954617917537689,159712000,0.0,0.0
2015-01-23 00:00:00-05:00,0.49594161584474855,0.49786111282416506,0.49186276341967533,0.49690139293670654,120416000,0.0,0.0
2015-01-26 00:00:00-05:00,0.494741827249527,0.49714115482824606,0.49162269567674394,0.494741827249527,133240000,0.0,0.0
2015-01-27 00:00:00-05:00,0.48706409508994597,0.4875439836244092,0.4700288529794743,0.47098860144615173,357948000,0.0,0.0
2015-01-28 00:00:00-05:00,0.4767470599737037,0.4786665286355057,0.4630708636347736,0.4633108079433441,272728000,0.0,0.0
2015-01-29 00:00:00-05:00,0.4635506681510652,0.4772268334065085,0.4613912555724696,0.4745875895023346,235340000,0.0,0.0
2015-01-30 00:00:00-05:00,0.4712285161668474,0.47674697688187484,0.4599516790722906,0.46067145466804504,298200000,0.0,0.0
2015-02-02 00:00:00-05:00,0.4635507367636866,0.4726681911509215,0.4544332823764516,0.4707487225532532,259604000,0.0,0.0
2015-02-03 00:00:00-05:00,0.47410767315063046,0.48298521000460065,0.4717083450500433,0.48250532150268555,183468000,0.0,0.0
2015-02-04 00:00:00-05:00,0.4810658591611391,0.4892235647673089,0.4796262219920321,0.4837051033973694,181516000,0.0,0.0
2015-02-05 00:00:00-05:00,0.4841848777466596,0.4918627510624326,0.48370504641723505,0.49162283539772034,140448000,0.0,0.0
2015-02-06 00:00:00-05:00,0.49114288296096625,0.49690131580081265,0.4873039468025655,0.48946335911750793,210524000,0.0,0.0
2015-02-09 00:00:00-05:00,0.4865844213031634,0.4904233020038051,0.4834652878305045,0.48898375034332275,273944000,0.0,0.0
2015-02-10 00:00:00-05:00,0.4894634625608787,0.5028997133526577,0.48730404978956526,0.502659797668457,226204000,0.0,0.0
2015-02-11 00:00:00-05:00,0.503859311823848,0.503859311823848,0.49594152410901726,0.49930062890052795,320832000,0.0,0.0
2015-02-12 00:00:00-05:00,0.5278527645553632,0.5398494065943371,0.5247336319047798,0.5350507497787476,676904000,0.0,0.0
2015-02-13 00:00:00-05:00,0.533850931118486,0.5360103433377754,0.5256932278960437,0.535290539264679,310084000,0.0,0.0
2015-02-17 00:00:00-05:00,0.534330954025294,0.5396094994881074,0.5309719056419138,0.5369701981544495,203340000,0.0,0.0
2015-02-18 00:00:00-05:00,0.5362504376283096,0.5372102148485417,0.5297722560165321,0.5307319760322571,170948000,0.0,0.0
2015-02-19 00:00:00-05:00,0.5374500327408334,0.5384097525818989,0.5297721596033151,0.5321714878082275,169432000,0.0,0.0
2015-02-20 00:00:00-05:00,0.5316916761178015,0.536250359832275,0.5278527394073248,0.5360104441642761,157752000,0.0,0.0
2015-02-23 00:00:00-05:00,0.5357705227525338,0.5357705227525338,0.529052369280097,0.5316916704177856,125008000,0.0,0.0
2015-02-24 00:00:00-05:00,0.5337389653712983,0.5373517870903015,0.5289218314627834,0.5373517870903015,149356000,0.002125,0.0
2015-02-25 00:00:00-05:00,0.5351838972123603,0.5375925208605312,0.5308485009800993,0.5332570672035217,123820000,0.0,0.0
2015-02-26 00:00:00-05:00,0.5337389453693897,0.5378335032957069,0.530366905819984,0.5347023606300354,152864000,0.0,0.0
