Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,24.648441478964468,24.659506182275138,23.75446781268404,24.192604064941406,212818400,0.0,0.0
2015-01-05 00:00:00-05:00,23.962477170972235,24.042138324672056,23.325189629610737,23.511064529418945,257142000,0.0,0.0
2015-01-06 00:00:00-05:00,23.575225789908487,23.772165309183304,23.152579204524255,23.513267517089844,263188400,0.0,0.0
2015-01-07 00:00:00-05:00,23.72127445249682,23.94255500406204,23.610634176714214,23.842979431152344,160423600,0.0,0.0
2015-01-08 00:00:00-05:00,24.170481081024192,24.816620038545683,24.05320094296326,24.75908660888672,237458000,0.0,0.0
2015-01-09 00:00:00-05:00,24.93167928030907,25.060022405088077,24.387329327343235,24.785634994506836,214798000,0.0,0.0
2015-01-12 00:00:00-05:00,24.91618759295084,24.922825738800306,24.075322583368106,24.174898147583008,198603200,0.0,0.0
2015-01-13 00:00:00-05:00,24.657288951103045,24.96044387790698,24.099662771315515,24.38953971862793,268367600,0.0,0.0
2015-01-14 00:00:00-05:00,24.12843426037142,24.449290420951467,24.00894254649171,24.296607971191406,195826400,0.0,0.0
2015-01-15 00:00:00-05:00,24.34086016459694,24.35413645717828,23.60178394813456,23.637187957763672,240056000,0.0,0.0
2015-01-16 00:00:00-05:00,23.68366137504563,23.805366375341244,23.278717488502334,23.453529357910156,314053200,0.0,0.0
2015-01-20 00:00:00-05:00,23.862893043099756,24.11294113817059,23.566377924636292,24.057621002197266,199599600,0.0,0.0
2015-01-21 00:00:00-05:00,24.108515641336837,24.57541774452879,23.95804479734744,24.24128532409668,194303600,0.0,0.0
2015-01-22 00:00:00-05:00,24.398396505882765,24.88742637071064,24.27890479360892,24.871936798095703,215185600,0.0,0.0
2015-01-23 00:00:00-05:00,24.849807624202118,25.170663761693863,24.679420647171945,25.00027847290039,185859200,0.0,0.0
2015-01-26 00:00:00-05:00,25.16845201286075,25.305646576499495,24.960449421311633,25.026832580566406,222460000,0.0,0.0
2015-01-27 00:00:00-05:00,24.8763564222506,24.88963440186182,24.126215571319666,24.150556564331055,382274800,0.0,0.0
2015-01-28 00:00:00-05:00,26.02923041081558,26.13765909552136,25.515859603881836,25.515859603881836,585908400,0.0,0.0
2015-01-29 00:00:00-05:00,25.739356482562314,26.37443234220827,25.571182772424184,26.310260772705078,337745600,0.0,0.0
2015-01-30 00:00:00-05:00,26.199615507769245,26.553664023772246,25.856630005500925,25.925228118896484,334982000,0.0,0.0
2015-02-02 00:00:00-05:00,26.122169732854424,26.370002869616926,25.68624677706615,26.250511169433594,250956400,0.0,0.0
2015-02-03 00:00:00-05:00,26.221741894917805,26.352296592733122,26.024802365111935,26.254934310913086,207662800,0.0,0.0
2015-02-04 00:00:00-05:00,26.221745794516334,26.666520183230848,26.179701948787283,26.456302642822266,280598800,0.0,0.0
2015-02-05 00:00:00-05:00,26.66291262696814,26.70956644149515,26.49185485500207,26.6451416015625,168984800,0.1175,0.0
2015-02-06 00:00:00-05:00,26.662906100062138,26.71400223470758,26.31412460021994,26.420759201049805,174826400,0.0,0.0
2015-02-09 00:00:00-05:00,26.336340464499866,26.62291744894482,26.309681391456404,26.59626007080078,155559200,0.0,0.0
2015-02-10 00:00:00-05:00,26.69623341788492,27.1360988800661,26.694013099240877,27.10721778869629,248034000,0.0,0.0
2015-02-11 00:00:00-05:00,27.27382989020448,27.751461049965634,27.213849091024947,27.74257469177246,294247200,0.0,0.0
2015-02-12 00:00:00-05:00,28.004714549879026,28.320174313577628,27.895859634991865,28.093576431274414,297898000,0.0,0.0
2015-02-13 00:00:00-05:00,28.27574380069617,28.27574380069617,27.913633609185215,28.231313705444336,217088800,0.0,0.0
2015-02-17 00:00:00-05:00,28.322391239862906,28.631186622082282,28.195763624881966,28.397924423217773,252609600,0.0,0.0
2015-02-18 00:00:00-05:00,28.353502982829205,28.60898031884703,28.313515211149024,28.595651626586914,179566800,0.0,0.0
2015-02-19 00:00:00-05:00,28.54232794957795,28.664513254672688,28.50900622536984,28.535663604736328,149449600,0.0,0.0
2015-02-20 00:00:00-05:00,28.573433915827366,28.768930435180664,28.44680795382774,28.768930435180664,195793600,0.0,0.0
2015-02-23 00:00:00-05:00,28.884447331881436,29.546464920043945,28.804471802520936,29.546464920043945,283896400,0.0,0.0
2015-02-24 00:00:00-05:00,29.533127556289475,29.679749882020854,29.139914369936434,29.36206817626953,276912400,0.0,0.0
2015-02-25 00:00:00-05:00,29.226563710478064,29.235451763904805,28.469018171309017,28.611196517944336,298846800,0.0,0.0
2015-02-26 00:00:00-05:00,28.61119665484146,29.07327713106697,28.126902824541162,28.973308563232422,365150000,0.0,0.0
2015-02-27 00:00:00-05:00,28.880004971043817,29.00663431225127,28.489015354840497,28.53788948059082,248059200,0.0,0.0
2015-03-02 00:00:00-05:00,28.71338852765152,28.942206749183107,28.502343023009654,28.67784309387207,192386800,0.0,0.0
