Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2015-01-02 00:00:00-05:00,,,,,,,,
2015-01-05 00:00:00-05:00,,,,,,,,
2015-01-06 00:00:00-05:00,,,,,,,,
2015-01-07 00:00:00-05:00,,,,,,,,
2015-01-08 00:00:00-05:00,,,,,,,,
2015-01-09 00:00:00-05:00,,,,,,,,
2015-01-12 00:00:00-05:00,,,,,,,,
2015-01-13 00:00:00-05:00,,,,,,,,
2015-01-14 00:00:00-05:00,,,,,,,,
2015-01-15 00:00:00-05:00,,,,,,,,
2015-01-16 00:00:00-05:00,,,,,,,,
2015-01-20 00:00:00-05:00,,,,,,,,
2015-01-21 00:00:00-05:00,,,,,,,,
2015-01-22 00:00:00-05:00,,,,,,,,
2015-01-23 00:00:00-05:00,,,,,,,,
2015-01-26 00:00:00-05:00,,,,,,,,
2015-01-27 00:00:00-05:00,,,,,,,,
2015-01-28 00:00:00-05:00,,,,,,,,
2015-01-29 00:00:00-05:00,,,,,,,,
2015-01-30 00:00:00-05:00,,,,,,,,
2015-02-02 00:00:00-05:00,,,,,,,,
2015-02-03 00:00:00-05:00,,,,,,,,
2015-02-04 00:00:00-05:00,,,,,,,,
2015-02-05 00:00:00-05:00,,,,,,,,
2015-02-06 00:00:00-05:00,,,,,,,,
2015-02-09 00:00:00-05:00,,,,,,,,
2015-02-10 00:00:00-05:00,,,,,,,,
2015-02-11 00:00:00-05:00,,,,,,,,
2015-02-12 00:00:00-05:00,,,,,,,,
2015-02-13 00:00:00-05:00,,,,,0.11519387227672695,,-0.13359824715208768,
2015-02-17 00:00:00-05:00,0.17382660039784326,,0.019993823312653442,,0.11559794750893704,,0.0028566433194421315,
2015-02-18 00:00:00-05:00,0.21626370099639258,,0.018952426179368483,,0.11593538306975337,,-0.27972813935745966,
2015-02-19 00:00:00-05:00,0.21359801364842013,,0.018983049477929687,,0.10636622322116951,,-0.39127599428852833,
2015-02-20 00:00:00-05:00,0.20659914504828536,,0.018934663744398714,,0.10835401903546393,,-0.20632337458658956,
2015-02-23 00:00:00-05:00,0.1933587286170253,,0.018377306904194427,,0.1313541415167092,,0.1436374787846313,
2015-02-24 00:00:00-05:00,0.1846405662566184,,0.018494042602737553,,0.11776485941994652,,0.10627634230042426,
2015-02-25 00:00:00-05:00,0.18350821050904131,,0.01854771314620262,,0.08308281809268214,,0.17817739006398492,
2015-02-26 00:00:00-05:00,0.18794010515093174,,0.01858215119086883,,0.09048358984567084,,0.4214926522798903,
2015-02-27 00:00:00-05:00,0.17456272827599162,,0.018895013138938724,,0.06841015161347919,,-0.04083134508003594,
2015-03-02 00:00:00-05:00,0.2132510665760865,,0.017860782992953406,,0.06693832378554698,,-0.2515005642143233,
2015-03-03 00:00:00-05:00,0.2253094665163462,,0.01767666459370519,,0.06220917272942583,,-0.3987958524619588,
2015-03-04 00:00:00-05:00,0.1869690649199991,,0.01746894243311726,,0.049658607928925846,,-0.49165673289992373,
2015-03-05 00:00:00-05:00,0.15845632221910444,,0.017937621508912385,,0.027429370280503296,,-0.09656262163741236,
2015-03-06 00:00:00-05:00,0.13077964306444367,,0.0175036196571402,,0.02490800731926268,,0.15269789572762926,
2015-03-09 00:00:00-04:00,0.12977303946756558,,0.017502781352622853,,0.02523911180045979,,0.37051990074128227,
2015-03-10 00:00:00-04:00,0.10522934375834514,,0.01807906087953832,,0.0008422728602848206,,0.05874239814585369,
2015-03-11 00:00:00-04:00,0.12444926101246989,,0.017078371454199784,,-0.02095386124210974,,0.0746772803629574,
2015-03-12 00:00:00-04:00,0.08352409913243419,,0.014205471277692453,,-0.0057995620557350636,,-0.20558105643279156,
2015-03-13 00:00:00-04:00,0.04354684694010991,,0.01325272919037992,,-0.01402416965642983,,-0.13319388116393893,
2015-03-16 00:00:00-04:00,0.07069904030902219,,0.013000235812894842,,-0.005356428593914164,,-0.3835544055856417,
2015-03-17 00:00:00-04:00,0.07511937226854837,,0.013134874192371162,,0.00890448019983725,,-0.11732177582961434,
2015-03-18 00:00:00-04:00,0.08703792454407866,,0.013222689863040031,,0.017490352361533068,,0.12052963851872378,
2015-03-19 00:00:00-04:00,0.0706190348274589,,0.013323799260164908,,0.0075707158693352206,,-0.20246284575481654,
2015-03-20 00:00:00-04:00,0.04969145422036214,,0.013563183612056117,,-0.006632914781694588,,0.17789278753550786,
2015-03-23 00:00:00-04:00,0.06962107148490637,,0.013513864917420943,,0.001522213319666621,,-0.3511800295604569,
2015-03-24 00:00:00-04:00,0.05821909506972922,,0.013537882681012635,,-0.004392940166977222,,-0.4329601138512411,
2015-03-25 00:00:00-04:00,0.01114580248349517,,0.01406781396323447,,-0.03075021466915928,,-0.10279934898564591,
2015-03-26 00:00:00-04:00,-0.0051248877714754615,,0.013448102681329776,,-0.023830652825866272,,-0.16108196019405796,
