Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2015-01-02 00:00:00-05:00,,,,,,,,
2015-01-05 00:00:00-05:00,,,,,,,,
2015-01-06 00:00:00-05:00,,,,,,,,
2015-01-07 00:00:00-05:00,,,,,,,,
2015-01-08 00:00:00-05:00,,,,,,,,
2015-01-09 00:00:00-05:00,,,,,,,,
2015-01-12 00:00:00-05:00,,,,,,,,
2015-01-13 00:00:00-05:00,,,,,,,,
2015-01-14 00:00:00-05:00,,,,,,,,
2015-01-15 00:00:00-05:00,,,,,,,,
2015-01-16 00:00:00-05:00,,,,,,,,
2015-01-20 00:00:00-05:00,,,,,,,,
2015-01-21 00:00:00-05:00,,,,,,,,
2015-01-22 00:00:00-05:00,,,,,,,,
2015-01-23 00:00:00-05:00,,,,,,,,
2015-01-26 00:00:00-05:00,,,,,,,,
2015-01-27 00:00:00-05:00,,,,,,,,
2015-01-28 00:00:00-05:00,,,,,,,,
2015-01-29 00:00:00-05:00,,,,,,,,
2015-01-30 00:00:00-05:00,,,,,,,,
2015-02-02 00:00:00-05:00,,,,,,,,
2015-02-03 00:00:00-05:00,,,,,,,,
2015-02-04 00:00:00-05:00,,,,,,,,
2015-02-05 00:00:00-05:00,,,,,,,,
2015-02-06 00:00:00-05:00,,,,,,,,
2015-02-09 00:00:00-05:00,,,,,,,,
2015-02-10 00:00:00-05:00,,,,,,,,
2015-02-11 00:00:00-05:00,,,,,,,,
2015-02-12 00:00:00-05:00,,,,,,,,
2015-02-13 00:00:00-05:00,,,,,-0.007183468787171132,,-0.26532578411829544,
2015-02-17 00:00:00-05:00,-0.03632891593402188,,0.013755574572768891,,-0.0077829083171888636,,-0.012846396344454614,
2015-02-18 00:00:00-05:00,-0.006218354245966284,,0.013750906190069028,,0.006996912291804325,,-0.11876591181502982,
2015-02-19 00:00:00-05:00,0.04294164760926944,,0.014950537660255874,,0.04108235522017689,,0.759182809032563,
2015-02-20 00:00:00-05:00,0.049244826229656535,,0.014970189373675282,,0.04566091056774191,,0.39049377262162355,
2015-02-23 00:00:00-05:00,0.008442062981562692,,0.01444132636739513,,0.03149162945443518,,-0.09135600410598932,
2015-02-24 00:00:00-05:00,0.009132956644370305,,0.0144320842748889,,0.026071416464685804,,-0.286652618990636,
2015-02-25 00:00:00-05:00,0.03701741520235391,,0.014409655850446727,,0.039302508873330755,,-0.04158123480731735,
2015-02-26 00:00:00-05:00,0.05179859935663611,,0.014478582624385094,,0.04859816519633098,,0.15649294641860356,
2015-02-27 00:00:00-05:00,0.035264678377911585,,0.014905269807566892,,0.0286167745692556,,0.1358544078074717,
2015-03-02 00:00:00-05:00,0.07697467682764114,,0.013816471097347892,,0.036212149114880576,,-0.18705385690796883,
2015-03-03 00:00:00-05:00,0.05879220223731263,,0.013626593148795406,,0.032287084516366304,,-0.2978970065583616,
2015-03-04 00:00:00-05:00,0.06112301829156053,,0.013700863122842794,,0.047036969034814025,,0.05270400388843788,
2015-03-05 00:00:00-05:00,0.05824875289888065,,0.013679090620917716,,0.04902604888788664,,0.037904732254047335,
2015-03-06 00:00:00-05:00,0.030392749651581674,,0.013878679256575776,,0.032476007367235216,,-0.09217861044599229,
2015-03-09 00:00:00-04:00,0.020686031075381806,,0.013956747853749452,,0.024411031880270606,,-0.3003077890027821,
2015-03-10 00:00:00-04:00,0.0006451046409932104,,0.014638899269928847,,1.7143739727387697e-05,,-0.15115301185370478,
2015-03-11 00:00:00-04:00,0.02362110686477603,,0.014019348092117072,,-0.0004938898429278638,,-0.25617821669245333,
2015-03-12 00:00:00-04:00,0.035283489789683875,,0.01431886266726873,,0.01585630863439169,,-0.37954052490363455,
2015-03-13 00:00:00-04:00,0.0006409693364883839,,0.013876468918036107,,0.004508786085005934,,-0.24296623094629932,
2015-03-16 00:00:00-04:00,0.028454844374654842,,0.012913049655684891,,0.003836080918574014,,-0.18662860011030113,
2015-03-17 00:00:00-04:00,0.05827456925138397,,0.012967143315592674,,0.01851547634246664,,-0.039241863457648796,
2015-03-18 00:00:00-04:00,0.07307699250153754,,0.013346582384355866,,0.035966303920412335,,0.5769576650069317,
2015-03-19 00:00:00-04:00,0.09414263503849418,,0.013852260774519674,,0.05631554593150634,,0.7443517826161059,
2015-03-20 00:00:00-04:00,0.10831930685341384,,0.013945474229220906,,0.06600423179278736,,0.7705163592946171,
2015-03-23 00:00:00-04:00,0.13374509327944617,,0.013509353867760596,,0.06950146941671886,,0.08047261123923533,
2015-03-24 00:00:00-04:00,0.1460235421279641,,0.013524502744051372,,0.07571120121054742,,0.2594416725903985,
2015-03-25 00:00:00-04:00,0.10280617832921513,,0.014730989602122954,,0.04218852861733935,,0.40807869010967424,
2015-03-26 00:00:00-04:00,0.08495619299003421,,0.014489084804172426,,0.04048629009039595,,0.2153469290947565,
