Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2015-01-02 00:00:00-05:00,,,,,,,,
2015-01-05 00:00:00-05:00,,,,,,,,
2015-01-06 00:00:00-05:00,,,,,,,,
2015-01-07 00:00:00-05:00,,,,,,,,
2015-01-08 00:00:00-05:00,,,,,,,,
2015-01-09 00:00:00-05:00,,,,,,,,
2015-01-12 00:00:00-05:00,,,,,,,,
2015-01-13 00:00:00-05:00,,,,,,,,
2015-01-14 00:00:00-05:00,,,,,,,,
2015-01-15 00:00:00-05:00,,,,,,,,
2015-01-16 00:00:00-05:00,,,,,,,,
2015-01-20 00:00:00-05:00,,,,,,,,
2015-01-21 00:00:00-05:00,,,,,,,,
2015-01-22 00:00:00-05:00,,,,,,,,
2015-01-23 00:00:00-05:00,,,,,,,,
2015-01-26 00:00:00-05:00,,,,,,,,
2015-01-27 00:00:00-05:00,,,,,,,,
2015-01-28 00:00:00-05:00,,,,,,,,
2015-01-29 00:00:00-05:00,,,,,,,,
2015-01-30 00:00:00-05:00,,,,,,,,
2015-02-02 00:00:00-05:00,,,,,,,,
2015-02-03 00:00:00-05:00,,,,,,,,
2015-02-04 00:00:00-05:00,,,,,,,,
2015-02-05 00:00:00-05:00,,,,,,,,
2015-02-06 00:00:00-05:00,,,,,,,,
2015-02-09 00:00:00-05:00,,,,,,,,
2015-02-10 00:00:00-05:00,,,,,,,,
2015-02-11 00:00:00-05:00,,,,,,,,
2015-02-12 00:00:00-05:00,,,,,,,,
2015-02-13 00:00:00-05:00,,,,,0.10728748456800008,,0.34354148252136096,
2015-02-17 00:00:00-05:00,0.11177317209146209,,0.022506734349937458,,0.10664214295044383,,-0.13022525001639684,
2015-02-18 00:00:00-05:00,0.11773580784518756,,0.022359861008523524,,0.08960124087396304,,-0.2659538289074872,
2015-02-19 00:00:00-05:00,0.15581081558660914,,0.0214068562151173,,0.08721977539421655,,-0.2695011528837039,
2015-02-20 00:00:00-05:00,0.16718832235401182,,0.02136067234923238,,0.08936604014387672,,-0.30343583919573136,
2015-02-23 00:00:00-05:00,0.11581080950923406,,0.02059818882475386,,0.07656435853788635,,-0.43481122998907673,
2015-02-24 00:00:00-05:00,0.12316472657074895,,0.020635425384639094,,0.08371492749619902,,-0.3185476560988637,
2015-02-25 00:00:00-05:00,0.12875833621886779,,0.020518042194018603,,0.07107737061464392,,-0.42925012445684574,
2015-02-26 00:00:00-05:00,0.13354438673062652,,0.020491527334612066,,0.06946928678700992,,-0.2861741379460633,
2015-02-27 00:00:00-05:00,0.12183141623248939,,0.020584429024559474,,0.05865260569260289,,-0.2648182818560695,
2015-03-02 00:00:00-05:00,0.15750138422384707,,0.020801443182265282,,0.07925765757614656,,0.38324415879775553,
2015-03-03 00:00:00-05:00,0.1155013372282645,,0.021080528891114267,,0.05534263339404322,,-0.26200217610494403,
2015-03-04 00:00:00-05:00,0.12469411803902752,,0.02112292091512426,,0.06304531298414973,,0.030372770493292567,
2015-03-05 00:00:00-05:00,0.13044429596234752,,0.02122721265407782,,0.07892788940466522,,0.4288452273047598,
2015-03-06 00:00:00-05:00,0.0962140869510193,,0.021324905462666802,,0.060993333577072484,,0.12225814309192451,
2015-03-09 00:00:00-04:00,0.09594658988097415,,0.021325102227283947,,0.060523741034518075,,-0.04452370259023675,
2015-03-10 00:00:00-04:00,0.11971683275314016,,0.021423208830508928,,0.07468518856935491,,1.1441550871009287,
2015-03-11 00:00:00-04:00,0.1700509461104125,,0.019144387135620368,,0.06356968812835762,,0.08006513684451111,
2015-03-12 00:00:00-04:00,0.1785234010007637,,0.018908384745469117,,0.048229890508461715,,0.6465675403470519,
2015-03-13 00:00:00-04:00,0.1520427275753482,,0.018588549435502574,,0.04479275282968764,,0.4297432610536549,
2015-03-16 00:00:00-04:00,0.20096048725896187,,0.017461506540270382,,0.05102194055969056,,-0.04933922825711923,
2015-03-17 00:00:00-04:00,0.18957853218552745,,0.017251251324820405,,0.05785572851135656,,0.19674122456276444,
2015-03-18 00:00:00-04:00,0.14162457996943956,,0.01732869033643216,,0.03610781169094013,,0.6023299070298331,
2015-03-19 00:00:00-04:00,0.1562205992367678,,0.017433327625353243,,0.04700336608163003,,0.18345187299778654,
2015-03-20 00:00:00-04:00,0.14984720046963762,,0.01733700943121548,,0.053433282704640206,,0.6907227660172348,
2015-03-23 00:00:00-04:00,0.11752206343711968,,0.018559149252889772,,0.01569224034203809,,0.5188214467709673,
2015-03-24 00:00:00-04:00,0.10334908277382016,,0.01881580358541779,,-0.0012961456848566977,,0.17036657887107265,
2015-03-25 00:00:00-04:00,0.008163062512687835,,0.021592628241259376,,-0.062169216040533715,,0.8522316825869356,
2015-03-26 00:00:00-04:00,0.01156935290770189,,0.021562828304467537,,-0.065622184864634,,0.06595244723890792,
